
[INFO] This tool reads browser history from ~/Library. 
For macOS 10.15+ you must add this Terminal (or your app) to
System Settings > Privacy & Security > Full Disk Access.

[Safari] Found 5094 history rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
browser,profile,url,title,visited_at_iso,visit_count,source_path,snapshot_path
safari,Default,https://search.yahoo.com/search;_ylt=Awr.wKIlFwNpN7wFFzuJzbkF?p=uiet+kurukshetra&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Apivot&stype=web,uiet kurukshetra - Yahoo Search Results,2025-10-30T08:14:53Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://search.yahoo.com/search;_ylt=Awr.wKIlFwNpN7wFFzuJzbkF?p=uiet+kurukshetra&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Apivot&stype=web,uiet kurukshetra - Yahoo Search Results,2025-10-30T08:14:49Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://images.search.yahoo.com/search/images;_ylt=Awr98YPfGQNprsUF6sGJzbkF;_ylu=c2VjA3NlYXJjaARzbGsDYnV0dG9u;_ylc=X1MDOTYwNjI4NTcEX3IDMgRmcgNhYXBsdwRmcjIDcDpzLHY6aSxtOnNiLXRvcARncHJpZANmQ2Rxam5YNlFLZVloSm9rZFFTRm5BBG5fcnNsdAMwBG5fc3VnZwMxMARvcmlnaW4DaW1hZ2VzLnNlYXJjaC55YWhvby5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2NvZ25pemFudCUyMGxvZ28EdF9zdG1wAzE3NjE4MTA5NDk-?p=cognizant+logo&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&ei=UTF-8&x=wrt#id=7&iurl=https%3A%2F%2Fmma.prnewswire.com%2Fmedia%2F1794711%2FCognizant_Logo.jpg%3Fp%3Dfacebook&action=click,cognizant logo - Yahoo Image Search Results,2025-10-30T07:55:58Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://images.search.yahoo.com/search/images;_ylt=Awr98YPfGQNprsUF6sGJzbkF;_ylu=c2VjA3NlYXJjaARzbGsDYnV0dG9u;_ylc=X1MDOTYwNjI4NTcEX3IDMgRmcgNhYXBsdwRmcjIDcDpzLHY6aSxtOnNiLXRvcARncHJpZANmQ2Rxam5YNlFLZVloSm9rZFFTRm5BBG5fcnNsdAMwBG5fc3VnZwMxMARvcmlnaW4DaW1hZ2VzLnNlYXJjaC55YWhvby5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzE0BHF1ZXJ5A2NvZ25pemFudCUyMGxvZ28EdF9zdG1wAzE3NjE4MTA5NDk-?p=cognizant+logo&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&ei=UTF-8&x=wrt,cognizant logo - Yahoo Image Search Results,2025-10-30T07:55:50Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://images.search.yahoo.com/search/images;_ylt=Awr98YPBGQNpoCEGUKaJzbkF;_ylu=c2VjA3NlYXJjaARzbGsDYnV0dG9u;_ylc=X1MDOTYwNjI4NTcEX3IDMgRmcgNhYXBsdwRmcjIDcDpzLHY6aSxtOnNiLXRvcARncHJpZANicGs3ZjJuOVI1U0FTRjBGdEtHZ0ZBBG5fcnNsdAMwBG5fc3VnZwMxMARvcmlnaW4DaW1hZ2VzLnNlYXJjaC55YWhvby5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2RhaWtpbiUyMGxvZ28EdF9zdG1wAzE3NjE4MTA5MTI-?p=daikin+logo&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&ei=UTF-8&x=wrt#id=0&iurl=https%3A%2F%2Flogos-world.net%2Fwp-content%2Fuploads%2F2023%2F01%2FDaikin-Logo.png&action=click,daikin logo - Yahoo Image Search Results,2025-10-30T07:55:16Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://images.search.yahoo.com/search/images;_ylt=Awr98YPBGQNpoCEGUKaJzbkF;_ylu=c2VjA3NlYXJjaARzbGsDYnV0dG9u;_ylc=X1MDOTYwNjI4NTcEX3IDMgRmcgNhYXBsdwRmcjIDcDpzLHY6aSxtOnNiLXRvcARncHJpZANicGs3ZjJuOVI1U0FTRjBGdEtHZ0ZBBG5fcnNsdAMwBG5fc3VnZwMxMARvcmlnaW4DaW1hZ2VzLnNlYXJjaC55YWhvby5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2RhaWtpbiUyMGxvZ28EdF9zdG1wAzE3NjE4MTA5MTI-?p=daikin+logo&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&ei=UTF-8&x=wrt,daikin logo - Yahoo Image Search Results,2025-10-30T07:55:12Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://images.search.yahoo.com/search/images;_ylt=AwrO5sefGQNpUPgFCUKJzbkF;_ylu=c2VjA3NlYXJjaARzbGsDYnV0dG9u;_ylc=X1MDOTYwNjI4NTcEX3IDMgRmcgNhYXBsdwRmcjIDcDpzLHY6aSxtOnNiLXRvcARncHJpZANmd2VGdzE2LlFVeThzdG9CZndzRTBBBG5fcnNsdAMwBG5fc3VnZwMxMARvcmlnaW4DaW1hZ2VzLnNlYXJjaC55YWhvby5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A3lhbWFoYSUyMGxvZ28EdF9zdG1wAzE3NjE4MTA4ODE-?p=yamaha+logo&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&ei=UTF-8&x=wrt#id=7&iurl=https%3A%2F%2Fe7.pngegg.com%2Fpngimages%2F449%2F756%2Fpng-clipart-yamaha-motor-company-yamaha-corporation-motorcycle-logo-motorcycle-emblem-trademark.png&action=click,yamaha logo - Yahoo Image Search Results,2025-10-30T07:54:53Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://images.search.yahoo.com/search/images;_ylt=AwrO5sefGQNpUPgFCUKJzbkF;_ylu=c2VjA3NlYXJjaARzbGsDYnV0dG9u;_ylc=X1MDOTYwNjI4NTcEX3IDMgRmcgNhYXBsdwRmcjIDcDpzLHY6aSxtOnNiLXRvcARncHJpZANmd2VGdzE2LlFVeThzdG9CZndzRTBBBG5fcnNsdAMwBG5fc3VnZwMxMARvcmlnaW4DaW1hZ2VzLnNlYXJjaC55YWhvby5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A3lhbWFoYSUyMGxvZ28EdF9zdG1wAzE3NjE4MTA4ODE-?p=yamaha+logo&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&ei=UTF-8&x=wrt,yamaha logo - Yahoo Image Search Results,2025-10-30T07:54:41Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://images.search.yahoo.com/search/images;_ylt=Awr98YODGQNpwK8G0FeJzbkF;_ylu=c2VjA3NlYXJjaARzbGsDYnV0dG9u;_ylc=X1MDOTYwNjI4NTcEX3IDMgRmcgNhYXBsdwRmcjIDcDpzLHY6aSxtOnNiLXRvcARncHJpZANqZjE4Q0lXZFJXLl9Yd183dFZTUHlBBG5fcnNsdAMwBG5fc3VnZwMxMARvcmlnaW4DaW1hZ2VzLnNlYXJjaC55YWhvby5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzEyBHF1ZXJ5A0luZm9zeXMlMjBsb2dvBHRfc3RtcAMxNzYxODEwODQ3?p=Infosys+logo&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&ei=UTF-8&x=wrt#id=4&iurl=https%3A%2F%2Fwww.infosys.com%2Fcontent%2Fdam%2Finfosys-web%2Fen%2Fglobal-resource%2Fmedia-resources%2Finfosys-logo-TIFF.tif&action=click,Infosys logo - Yahoo Image Search Results,2025-10-30T07:54:28Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
safari,Default,https://images.search.yahoo.com/search/images;_ylt=Awr98YODGQNpwK8G0FeJzbkF;_ylu=c2VjA3NlYXJjaARzbGsDYnV0dG9u;_ylc=X1MDOTYwNjI4NTcEX3IDMgRmcgNhYXBsdwRmcjIDcDpzLHY6aSxtOnNiLXRvcARncHJpZANqZjE4Q0lXZFJXLl9Yd183dFZTUHlBBG5fcnNsdAMwBG5fc3VnZwMxMARvcmlnaW4DaW1hZ2VzLnNlYXJjaC55YWhvby5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzEyBHF1ZXJ5A0luZm9zeXMlMjBsb2dvBHRfc3RtcAMxNzYxODEwODQ3?p=Infosys+logo&fr=aaplw&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&ei=UTF-8&x=wrt#id=0&iurl=https%3A%2F%2Fwww.liblogo.com%2Fimg-logo%2Fin6145i7cd-infosys-logo-infosys-logo-ai-openchain.png&action=click,Infosys logo - Yahoo Image Search Results,2025-10-30T07:54:11Z,,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.db.snapshot
