
[INFO] This tool reads browser history from ~/Library. 
For macOS 10.15+ you must add this Terminal (or your app) to
System Settings > Privacy & Security > Full Disk Access.

[Chrome:Profile 4] Found 1261 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
[Chrome:Profile 3] Found 80 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
[Chrome:Profile 5] Found 59 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
browser,profile,url,title,visited_at_iso,visit_count,source_path,snapshot_path
chrome,Profile 4,https://www.youtube.com/results?search_query=ban+diljit+dosanjh,ban diljit dosanjh - YouTube,2025-11-01T09:38:40Z,4,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/watch?v=UmS-NRNe7tk&start_radio=1,Diljit Dosanjh - BAN (Official Video) Aura | Diljit Dosanjh New Song | New Album | All Song - YouTube,2025-11-01T09:38:31Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/watch?v=7HZxinyAvrw&list=RD7HZxinyAvrw&start_radio=1,One In A Million : Jordan Sandhu (Official Video) | Latest Punjabi Song 2025 - YouTube,2025-11-01T09:37:46Z,3,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/watch?v=7HZxinyAvrw&list=RD7HZxinyAvrw&start_radio=1&pp=ygUQb25lIGluIGEgbWlsbGlvbqAHAdIHCQkDCgGHKiGM7w%3D%3D,ban diljit dosanjh - YouTube,2025-11-01T09:37:46Z,2,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/results?search_query=one+in+a+million,one in a million - YouTube,2025-11-01T09:35:58Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/watch?v=pF4rRV_ABc0,2025 Yezdi Roadster Review | Has Yezdi Finally Nailed It? - YouTube,2025-11-01T09:35:42Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/,YouTube,2025-11-01T09:35:42Z,38,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/esummit/pass,"Passes | 21st E-Summit | 11th - 12th December, 2025 | IIT Bombay",2025-11-01T09:32:41Z,9,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/esummit/ijf,"Internship & Job Fair | 21st E-Summit | 11th - 12th December, 2025 | IIT Bombay",2025-11-01T09:20:36Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/esummit/contact,"Speakers | 21st E-Summit | 11th - 12th December, 2025 | IIT Bombay",2025-11-01T09:18:32Z,2,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
